time,value,flag
2016-01-01 12:00:00,2000.0,False
2016-01-01 12:01:00,2111.05396401,False
2016-01-01 12:02:00,2221.76525702,False
2016-01-01 12:03:00,2331.79226539,False
2016-01-01 12:04:00,2440.79548691,False
2016-01-01 12:05:00,2548.43857842,False
2016-01-01 12:06:00,2654.38939359,False
2016-01-01 12:07:00,2758.32100783,False
2016-01-01 12:08:00,2859.91272706,False
2016-01-01 12:09:00,2958.85107721,False
2016-01-01 12:10:00,3054.83077154,False
2016-01-01 12:11:00,3147.55565262,False
2016-01-01 12:12:00,3236.73960614,False
2016-01-01 12:13:00,3322.10744377,False
2016-01-01 12:14:00,3403.39575229,False
2016-01-01 12:15:00,3480.35370639,False
2016-01-01 12:16:00,3552.7438426,False
2016-01-01 12:17:00,3620.34279203,False
2016-01-01 12:18:00,3682.94196962,False
2016-01-01 12:19:00,3740.34821769,False
2016-01-01 12:20:00,3792.38440206,False
2016-01-01 12:21:00,3838.88995851,False
2016-01-01 12:22:00,3879.72138828,False
2016-01-01 12:23:00,3914.75270087,False
2016-01-01 12:24:00,3943.87580273,False
2016-01-01 12:25:00,3967.00083086,False
2016-01-01 12:26:00,3984.05643009,False
2016-01-01 12:27:00,3994.98997321,False
2016-01-01 12:28:00,3999.76772339,False
2016-01-01 12:29:00,3998.37493828,False
2016-01-01 12:30:00,3990.8159155,False
2016-01-01 12:31:00,3977.11397937,False
2016-01-01 12:32:00,3957.31140893,False
2016-01-01 12:33:00,3931.46930751,False
2016-01-01 12:34:00,3899.66741418,False
2016-01-01 12:35:00,3862.00385768,False
2016-01-01 12:36:00,3818.59485365,False
2016-01-01 12:37:00,3769.57434606,False
2016-01-01 12:38:00,3715.09359385,False
2016-01-01 12:39:00,3655.32070425,False
2016-01-01 12:40:00,3590.44011405,False
2016-01-01 12:41:00,3520.65202047,False
2016-01-01 12:42:00,3446.17176348,False
2016-01-01 12:43:00,3367.22916129,False
2016-01-01 12:44:00,3284.06780125,False
2016-01-01 12:45:00,3196.94428821,False
2016-01-01 12:46:00,3106.12745275,False
2016-01-01 12:47:00,3011.89752166,False
2016-01-01 12:48:00,2914.54525327,False
2016-01-01 12:49:00,2814.37104027,False
2016-01-01 12:50:00,2711.6839828,False
2016-01-01 12:51:00,2606.80093474,False
2016-01-01 12:52:00,2500.04552593,False
2016-01-01 12:53:00,2391.74716364,False
2016-01-01 12:54:00,2282.24001612,False
2016-01-01 12:55:00,2171.86198147,False
2016-01-01 12:56:00,2060.95364501,False
2016-01-01 12:57:00,1949.85722841,False
2016-01-01 12:58:00,1838.91553365,False
2016-01-01 12:59:00,1728.4708853,False
2016-01-01 13:00:00,1618.86407425,False
2016-01-01 13:01:00,1510.43330612,False
2016-01-01 13:02:00,1403.51315772,False
2016-01-01 13:03:00,1298.43354462,False
2016-01-01 13:04:00,1195.51870322,False
2016-01-01 13:05:00,1095.08619023,False
2016-01-01 13:06:00,997.445902823,False
2016-01-01 13:07:00,902.899122406,False
2016-01-01 13:08:00,811.737584983,False
2016-01-01 13:09:00,724.242580966,False
2016-01-01 13:10:00,640.684087215,False
2016-01-01 13:11:00,561.319933989,False
2016-01-01 13:12:00,486.395009384,False
2016-01-01 13:13:00,416.140503696,False
2016-01-01 13:14:00,350.773196054,False
2016-01-01 13:15:00,290.494785522,False
2016-01-01 13:16:00,235.491268732,False
2016-01-01 13:17:00,185.932365964,False
2016-01-01 13:18:00,141.970997458,False
2016-01-01 13:19:00,103.742811556,False
2016-01-01 13:20:00,71.3657661424,False
2016-01-01 13:21:00,44.9397646698,False
2016-01-01 13:22:00,24.5463478958,False
2016-01-01 13:23:00,10.2484422774,False
2016-01-01 13:24:00,2.09016580414,False
2016-01-01 13:25:00,0.0966918659155,False
2016-01-01 13:26:00,4.27417157777,False
2016-01-01 13:27:00,14.6097147997,False
2016-01-01 13:28:00,31.0714299108,False
