,value,flag,a_score,likelihood,log_lhood,pred
2016-01-01 12:02:00,2221.76525702,False,1.0,0.5,0.03,-1.0
2016-01-01 12:03:00,110.02700837,False,1.0,0.5,0.03,-1.0
2016-01-01 12:04:00,109.00322152,False,1.0,0.5,0.03,-1.0
2016-01-01 12:05:00,107.64309151,False,1.0,0.5,0.03,-1.0
2016-01-01 12:06:00,105.95081517,False,0.0,0.5,0.03,-1.0
2016-01-01 12:07:00,103.93161424,False,0.0250000003725,0.5,0.03,-1.0
2016-01-01 12:08:00,101.59171923,False,0.0750000029802,0.5,0.03,-1.0
2016-01-01 12:09:00,98.93835015,False,0.0750000029802,0.5,0.03,-1.0
2016-01-01 12:10:00,95.97969433,False,0.0750000029802,0.5,0.03,-1.0
2016-01-01 12:11:00,92.72488108,False,0.10000000149,0.5,0.03,-1.0
2016-01-01 12:12:00,89.18395352,False,0.125,0.5,0.03,-1.0
2016-01-01 12:13:00,85.36783763,False,0.10000000149,0.5,0.03,-1.0
2016-01-01 12:14:00,81.28830852,False,0.600000023842,0.5,0.03,-1.0
2016-01-01 12:15:00,76.9579541,False,0.10000000149,0.5,0.03,-1.0
2016-01-01 12:16:00,72.39013621,False,0.675000011921,0.5,0.03,-1.0
2016-01-01 12:17:00,67.59894943,False,0.300000011921,0.5,0.03,-1.0
2016-01-01 12:18:00,62.59917759,False,0.34999999404,0.5,0.03,-1.0
2016-01-01 12:19:00,57.40624807,False,0.324999988079,0.5,0.03,-1.0
2016-01-01 12:20:00,52.03618437,False,0.5,0.5,0.03,-1.0
2016-01-01 12:21:00,46.50555645,False,0.375,0.5,0.03,-1.0
2016-01-01 12:22:00,40.83142977,False,0.27500000596,0.5,0.03,-1.0
2016-01-01 12:23:00,35.03131259,False,0.300000011921,0.5,0.03,-1.0
2016-01-01 12:24:00,29.12310186,False,0.699999988079,0.5,0.03,-1.0
2016-01-01 12:25:00,23.12502813,False,0.949999988079,0.5,0.03,-1.0
2016-01-01 12:26:00,17.05559923,False,0.975000023842,0.5,0.03,-1.0
2016-01-01 12:27:00,10.93354312,False,0.40000000596,0.5,0.03,-1.0
2016-01-01 12:28:00,4.77775018,False,0.449999988079,0.5,0.03,-1.0
2016-01-01 12:29:00,-1.39278511,False,0.40000000596,0.5,0.03,-1.0
2016-01-01 12:30:00,-7.55902278,False,0.300000011921,0.5,0.03,-1.0
2016-01-01 12:31:00,-13.70193613,False,0.5,0.5,0.03,-1.0
2016-01-01 12:32:00,-19.80257044,False,0.600000023842,0.5,0.03,-1.0
2016-01-01 12:33:00,-25.84210142,False,0.425000011921,0.5,0.03,-1.0
2016-01-01 12:34:00,-31.80189333,False,0.899999976158,0.5,0.03,-1.0
2016-01-01 12:35:00,-37.6635565,False,0.949999988079,0.5,0.03,-1.0
